,Age,Gender,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comprehensive_care,comprehensive_support
0,3,1,No,No,Yes,Often,6-25,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Yes_Not sure,No_Yes
1,3,0,No,No,No,Rarely,More than 1000,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,Don't know_No,Don't know_Don't know
2,2,0,No,No,No,Rarely,6-25,No,Yes,Don't know,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No,No_No,No_No
3,1,0,No,Yes,Yes,Often,26-100,No,Yes,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes,No_Yes,No_No
4,1,0,No,No,No,Never,100-1000,Yes,Yes,Don't know,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know,No,Yes_No,Don't know_Don't know
5,2,0,No,Yes,No,Sometimes,6-25,No,Yes,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No,Yes_Not sure,No_Don't know
6,2,1,No,Yes,Yes,Sometimes,1-5,Yes,Yes,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know,No,No_No,No_No
7,3,0,No,No,No,Never,1-5,Yes,Yes,Yes,Don't know,No,No,No,No,No,No,No,No,No_Yes,No_No
8,3,1,No,Yes,Yes,Sometimes,100-1000,No,Yes,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,Yes_Yes,No_No
9,0,0,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Don't know_No,Don't know_Don't know
10,1,0,No,No,Yes,Sometimes,6-25,Yes,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Don't know_No,No_No
